tweet,tokens,text_clean,sentimiento_bert,cluster,Clasificacion
"increíble que a estas alturas tengas que ir a activar tu netkey “móvil” a una sucursal cuando cambias de teléfono. Tienen mucho que aprender de que sin comprometer tu seguridad, lo hacen simple y rápido desde la misma app.","['increible', 'alturas', 'ir', 'activar', 'netkey', 'movil', 'sucursal', 'cambias', 'telefono', 'aprender', 'comprometer', 'seguridad', 'hacen', 'simple', 'rapido', 'misma', 'app']",increible alturas ir activar netkey movil sucursal cambias telefono aprender comprometer seguridad hacen simple rapido misma app,5 stars,0,app
11% la inversión y con eso!,"['11', 'inversion']",11 inversion,5 stars,0,inversi
"Muy buena , esta vez hey se equivocó, decía ser diferente a los bancos normales e incluso puede que apair…","['buena', 'vez', 'hey', 'equivoco', 'decia', 'ser', 'diferente', 'bancos', 'normales', 'incluso', 'puede', 'apair']",buena vez hey equivoco decia ser diferente bancos normales incluso puede apair,5 stars,0,banco
"Gracias por mis ultimas recompensas, adios vaquero, fue bueno mientras duró","['gracias', 'ultimas', 'recompensas', 'adios', 'vaquero', 'bueno', 'mientras', 'duro']",gracias ultimas recompensas adios vaquero bueno mientras duro,5 stars,0,recompensa
⭐️⭐️Tecate Pa'l Noe 2024!!!⭐️⭐️ 🚨Si tienen Hey Banco aprovechen hoy porque hay buenos descuentos en el abono Tempranero!…,"['tecate', 'pal', 'noe', '2024', 'si', 'hey', 'banco', 'aprovechen', 'hoy', 'buenos', 'descuentos', 'abono', 'tempranero']",tecate pal noe 2024 si hey banco aprovechen hoy buenos descuentos abono tempranero,5 stars,0,banco
Padrísimas las nuevas membresías de encontré una que se ajusta a mis necesidades y ya la contraté. Les recomiendo q…,"['padrisimas', 'nuevas', 'membresias', 'encontre', 'ajusta', 'necesidades', 'contrate', 'recomiendo', 'q']",padrisimas nuevas membresias encontre ajusta necesidades contrate recomiendo q,5 stars,0,recomi
"A mí ya me depositaron, la verdad estoy contento con sus servicios, espero recapaciten y re valoren sus decisiones","['depositaron', 'verdad', 'contento', 'servicios', 'espero', 'recapaciten', 're', 'valoren', 'decisiones']",depositaron verdad contento servicios espero recapaciten re valoren decisiones,5 stars,0,servicio
"Lo verdaderamente interesante de heybanco es su herramienta de inversión y, en lo personal, sería para lo único que tengo la tarjeta y que pagaría por el plan. Según el plan que pagues y si dejas el dinero 7 o 28 días te pueden dar el 9%, 10%, 11% o 12% de interés anual.","['verdaderamente', 'interesante', 'heybanco', 'herramienta', 'inversion', 'personal', 'seria', 'unico', 'tarjeta', 'pagaria', 'plan', 'segun', 'plan', 'pagues', 'si', 'dejas', 'dinero', '7', '28', 'dias', 'pueden', 'dar', '9', '10', '11', '12', 'interes', 'anual']",verdaderamente interesante heybanco herramienta inversion personal seria unico tarjeta pagaria plan segun plan pagues si dejas dinero 7 28 dias pueden dar 9 10 11 12 interes anual,5 stars,0,tarjeta
"La verdad son muy buenos contra fraudes o cosas así, los demás bancos se mega desentienden, a mí me han hecho todos los paros de la vida.","['verdad', 'buenos', 'fraudes', 'cosas', 'asi', 'demas', 'bancos', 'mega', 'desentienden', 'hecho', 'paros', 'vida']",verdad buenos fraudes cosas asi demas bancos mega desentienden hecho paros vida,5 stars,0,banco
Vamos muy bien con heybanco 👍🏾,"['vamos', 'bien', 'heybanco']",vamos bien heybanco,5 stars,0,banco
Una lección a esos perros de que quieren cobrar por lo que ustedes dan por solo ser clientes. Solo falta cashback y van a volver a ser mi tarjeta preferida.,"['leccion', 'perros', 'quieren', 'cobrar', 'ustedes', 'dan', 'solo', 'ser', 'clientes', 'solo', 'falta', 'cashback', 'van', 'volver', 'ser', 'tarjeta', 'preferida']",leccion perros quieren cobrar ustedes dan solo ser clientes solo falta cashback van volver ser tarjeta preferida,5 stars,0,cashback
"Bendita sea la competencia, y bienvenido el cashback así sea un por ciento como dice la canción","['bendita', 'competencia', 'bienvenido', 'cashback', 'asi', 'ciento', 'dice', 'cancion']",bendita competencia bienvenido cashback asi ciento dice cancion,5 stars,0,cashback
OJO ACA!! Regresan las recompensas a 🤩🤩🤩🤩,"['ojo', 'aca', 'regresan', 'recompensas']",ojo aca regresan recompensas,5 stars,0,recompensa
Les recomiendo también es mexicano y no está en quiebra con el DientesDeBurroUsurero,"['recomiendo', 'tambien', 'mexicano', 'quiebra', 'dientesdeburrousurero']",recomiendo tambien mexicano quiebra dientesdeburrousurero,5 stars,0,recomi
Gracias 🙏 😍👌⁦@soynumx⁩ ⁦@nubank⁩ espero sirva de aprendizaje a las demás plataformas si quieren nuestro dinero como inversionistas. Fyi ⁦@dinnactinver⁩ ⁦@heybanco⁩ ⁦@uala⁩ ⁦@uala_mex⁩ ⁦@MercadoPagoMex⁩ ⁦@FinsusApp⁩,"['gracias', 'soynumx', 'nubank', 'espero', 'sirva', 'aprendizaje', 'demas', 'plataformas', 'si', 'quieren', 'dinero', 'inversionistas', 'fyi', 'dinnactinver', 'heybanco', 'uala', 'uala_mex', 'mercadopagomex', 'finsusapp']",gracias soynumx nubank espero sirva aprendizaje demas plataformas si quieren dinero inversionistas fyi dinnactinver heybanco uala uala_mex mercadopagomex finsusapp,5 stars,0,banco
el mejor banco,"['mejor', 'banco']",mejor banco,5 stars,0,banco
"Me uní a en julio de 2019 y me ha resultado muy útil para mis transacciones en línea, la verdad la recomiendo mucho","['uni', 'julio', '2019', 'resultado', 'util', 'transacciones', 'linea', 'verdad', 'recomiendo']",uni julio 2019 resultado util transacciones linea verdad recomiendo,5 stars,0,recomi
"Hey Banco me gusta mucho, iwal mercado pago apae de q es súper práctico y el dinero q tienes ahí está inveido en gbm y te genera unos pesitos extras","['hey', 'banco', 'gusta', 'iwal', 'mercado', 'pago', 'apae', 'q', 'super', 'practico', 'dinero', 'q', 'ahi', 'inveido', 'gbm', 'genera', 'pesitos', 'extras']",hey banco gusta iwal mercado pago apae q super practico dinero q ahi inveido gbm genera pesitos extras,5 stars,0,banco
🎁 ¡Promoción para todos nuestros clientes Hey! Aprovecha las compras de temporada y recibe recompensas en efectivo. ¿List@ p…,"['promocion', 'clientes', 'hey', 'aprovecha', 'compras', 'temporada', 'recibe', 'recompensas', 'efectivo', 'list', 'p']",promocion clientes hey aprovecha compras temporada recibe recompensas efectivo list p,5 stars,0,recompensa
Siempre estoy recomendando y llevo 2 meses sin tarjeta 🤡 ¿regresar a Banamex será la solución?,"['siempre', 'recomendando', 'llevo', '2', 'meses', 'tarjeta', 'regresar', 'banamex', 'sera', 'solucion']",siempre recomendando llevo 2 meses tarjeta regresar banamex sera solucion,5 stars,0,tarjeta
"Jamas pensé que me quedaría con Hey Banco después de todas las mamadas que están haciendo pero literalmente es la mejor opción que tengo. En fin, chingada madre HSBC, tremendo pedo por una compra de 150 pesos.","['jamas', 'pense', 'quedaria', 'hey', 'banco', 'despues', 'todas', 'mamadas', 'estan', 'haciendo', 'literalmente', 'mejor', 'opcion', 'fin', 'chingada', 'madre', 'hsbc', 'tremendo', 'pedo', 'compra', '150', 'pesos']",jamas pense quedaria hey banco despues todas mamadas estan haciendo literalmente mejor opcion fin chingada madre hsbc tremendo pedo compra 150 pesos,5 stars,0,banco
Amamos las recompensas de 🫡,"['amamos', 'recompensas']",amamos recompensas,5 stars,0,recompensa
"Evalué cambiar a HeyBanco! por Nu, debido a la tasa de rendimiento y wow, gratamente sorprendida.","['evalue', 'cambiar', 'heybanco', 'nu', 'debido', 'tasa', 'rendimiento', 'wow', 'gratamente', 'sorprendida']",evalue cambiar heybanco nu debido tasa rendimiento wow gratamente sorprendida,5 stars,0,rendimiento
"Te la recomiendo, atención inmediata, también para ti un abrazo y felices fiestas, abrazo para toda la familia.","['recomiendo', 'atencion', 'inmediata', 'tambien', 'abrazo', 'felices', 'fiestas', 'abrazo', 'toda', 'familia']",recomiendo atencion inmediata tambien abrazo felices fiestas abrazo toda familia,5 stars,0,recomi
"Entiendo, con la de Baz me transfiero de la de crédito a la de Azteca, entra como una compra y no me genera comisión. Te la recomiendo y muy accesible","['entiendo', 'baz', 'transfiero', 'credito', 'azteca', 'entra', 'compra', 'genera', 'comision', 'recomiendo', 'accesible']",entiendo baz transfiero credito azteca entra compra genera comision recomiendo accesible,5 stars,0,credito
"Te recomiendo Hey banco, no tiene nada de eso y puedes retirar en cualquier HSBC o inbursa sin comisión.","['recomiendo', 'hey', 'banco', 'puedes', 'retirar', 'cualquier', 'hsbc', 'inbursa', 'comision']",recomiendo hey banco puedes retirar cualquier hsbc inbursa comision,5 stars,0,banco
"Hoy fui a la Fanshop de Hey banco y me la pasé super chido, además hice un amix ✨","['hoy', 'fanshop', 'hey', 'banco', 'pase', 'super', 'chido', 'ademas', 'hice', 'amix']",hoy fanshop hey banco pase super chido ademas hice amix,5 stars,0,banco
"Uy, ya los contacté, incluso les mande video al correo electrónico que me señalo la persona que me contestó, actualice mi sistema operativo y sigue igual, esto sucede solo con la app del Banco Hey, tengo apps de otros bancos y funcionan perfecto.","['uy', 'contacte', 'incluso', 'mande', 'video', 'correo', 'electronico', 'senalo', 'persona', 'contesto', 'actualice', 'sistema', 'operativo', 'sigue', 'igual', 'sucede', 'solo', 'app', 'banco', 'hey', 'apps', 'bancos', 'funcionan', 'perfecto']",uy contacte incluso mande video correo electronico senalo persona contesto actualice sistema operativo sigue igual sucede solo app banco hey apps bancos funcionan perfecto,5 stars,0,banco
🎁 ¡Promoción para todos nuestros clientes Hey! Aprovecha las compras de temporada y recibe recompensas en efectivo. ¿List@ p…,"['promocion', 'clientes', 'hey', 'aprovecha', 'compras', 'temporada', 'recibe', 'recompensas', 'efectivo', 'list', 'p']",promocion clientes hey aprovecha compras temporada recibe recompensas efectivo list p,5 stars,0,recompensa
"Por si ocupan, excelentes alternativas a BancoAztecaEnQuiebra 1. HeyBanco - Sin comisiones, contratación en línea, +23K puntos para retirar $ 2. NuBank - Sin comisiones, contratación en línea, retiro de efectivo en supermercados.","['si', 'ocupan', 'excelentes', 'alternativas', 'bancoaztecaenquiebra', '1', 'heybanco', 'comisiones', 'contratacion', 'linea', '23k', 'puntos', 'retirar', '2', 'nubank', 'comisiones', 'contratacion', 'linea', 'retiro', 'efectivo', 'supermercados']",si ocupan excelentes alternativas bancoaztecaenquiebra 1 heybanco comisiones contratacion linea 23k puntos retirar 2 nubank comisiones contratacion linea retiro efectivo supermercados,5 stars,0,banco
"Excelentes alternativas a 1. HeyBanco - Sin comisiones, contratación en línea, +23K puntos para retirar $ 2. NuBank - Sin comisiones, contratación en línea, retiro de efectivo en supermercados","['excelentes', 'alternativas', '1', 'heybanco', 'comisiones', 'contratacion', 'linea', '23k', 'puntos', 'retirar', '2', 'nubank', 'comisiones', 'contratacion', 'linea', 'retiro', 'efectivo', 'supermercados']",excelentes alternativas 1 heybanco comisiones contratacion linea 23k puntos retirar 2 nubank comisiones contratacion linea retiro efectivo supermercados,5 stars,0,banco
"Excelentes alternativas a : 1. HeyBanco - Sin comisiones, contratación en línea, +23K puntos para retirar $ 2. NuBank - Sin comisiones, contratación en línea, retiro de efectivo en supermercados","['excelentes', 'alternativas', '1', 'heybanco', 'comisiones', 'contratacion', 'linea', '23k', 'puntos', 'retirar', '2', 'nubank', 'comisiones', 'contratacion', 'linea', 'retiro', 'efectivo', 'supermercados']",excelentes alternativas 1 heybanco comisiones contratacion linea 23k puntos retirar 2 nubank comisiones contratacion linea retiro efectivo supermercados,5 stars,0,banco
"Excelentes alternativas a Banco Azteca: 1. HeyBanco - Sin comisiones, contratación en línea, +23K puntos para retirar $ 2. NuBank - Sin comisiones, contratación en línea, retiro de efectivo en supermercados","['excelentes', 'alternativas', 'banco', 'azteca', '1', 'heybanco', 'comisiones', 'contratacion', 'linea', '23k', 'puntos', 'retirar', '2', 'nubank', 'comisiones', 'contratacion', 'linea', 'retiro', 'efectivo', 'supermercados']",excelentes alternativas banco azteca 1 heybanco comisiones contratacion linea 23k puntos retirar 2 nubank comisiones contratacion linea retiro efectivo supermercados,5 stars,0,banco
¡Celebramos 6 años en Hey Banco! 🎉 Gracias por confiar en nosotros en este viaje; tu apoyo ha sido fundamental para nuestro…,"['celebramos', '6', 'anos', 'hey', 'banco', 'gracias', 'confiar', 'viaje', 'apoyo', 'sido', 'fundamental']",celebramos 6 anos hey banco gracias confiar viaje apoyo sido fundamental,5 stars,0,banco
la mejor opción rendimiento del 13%,"['mejor', 'opcion', 'rendimiento', '13']",mejor opcion rendimiento 13,5 stars,0,rendimiento
Me encantan las respuestas de a las fallas repoadas en su App 🙄,"['encantan', 'respuestas', 'fallas', 'repoadas', 'app']",encantan respuestas fallas repoadas app,5 stars,0,app
"Y aprovecho el tuit para recomendarles a hey banco, yo lqm 🫶🏽 ni una sola queja en dos años","['aprovecho', 'tuit', 'recomendarles', 'hey', 'banco', 'lqm', 'sola', 'queja', 'dos', 'anos']",aprovecho tuit recomendarles hey banco lqm sola queja dos anos,5 stars,0,banco
Mejor aumenten líneas de crédito! 😭😭😭😭,"['mejor', 'aumenten', 'lineas', 'credito']",mejor aumenten lineas credito,5 stars,0,credito
"Cada más agradecido de peenecer a !! Si ocupan un banco que solucione, este es el mero bueno! Thkss","['cada', 'mas', 'agradecido', 'peenecer', 'si', 'ocupan', 'banco', 'solucione', 'mero', 'bueno', 'thkss']",cada mas agradecido peenecer si ocupan banco solucione mero bueno thkss,5 stars,0,banco
"Por eso me encanta Su app es simplemente increíble! 💯. Además de ser super intuitiva, Cashback en todas tus compras…","['encanta', 'app', 'simplemente', 'increible', 'ademas', 'ser', 'super', 'intuitiva', 'cashback', 'todas', 'compras']",encanta app simplemente increible ademas ser super intuitiva cashback todas compras,5 stars,0,cashback
trae la de hey banco 😍🥹 humilde mi chiquito,"['trae', 'hey', 'banco', 'humilde', 'chiquito']",trae hey banco humilde chiquito,5 stars,0,banco
¡Celebra el amor con estilo este San Valentín! ❤️ Descubre las últimas colecciones de tus marcas favoritas aquí: SomosHey HeyMedia HeyBanco SanValentín Regalos,"['celebra', 'amor', 'estilo', 'san', 'valentin', 'descubre', 'ultimas', 'colecciones', 'marcas', 'favoritas', 'aqui', 'somoshey', 'heymedia', 'heybanco', 'sanvalentin', 'regalos']",celebra amor estilo san valentin descubre ultimas colecciones marcas favoritas aqui somoshey heymedia heybanco sanvalentin regalos,5 stars,0,banco
Comerciales tan ganadores como los Kansas Chiefs que nos dejó el SuperBowl este año: SomosHey HeyMedia HeyBanco Comerciales SBLVIII MichaelCera JLo MainScorsese,"['comerciales', 'tan', 'ganadores', 'kansas', 'chiefs', 'dejo', 'superbowl', 'ano', 'somoshey', 'heymedia', 'heybanco', 'comerciales', 'sblviii', 'michaelcera', 'jlo', 'mainscorsese']",comerciales tan ganadores kansas chiefs dejo superbowl ano somoshey heymedia heybanco comerciales sblviii michaelcera jlo mainscorsese,5 stars,0,banco
"Hey, hey, hey, banco 👌✔️ Esto es perfecto","['hey', 'hey', 'hey', 'banco', 'perfecto']",hey hey hey banco perfecto,5 stars,0,banco
Te recomiendo,['recomiendo'],recomiendo,5 stars,0,recomi
"Me recomendaron charliehack50 en TELEGRAM. Él puede ayudae a solucionar este problema. Recuperé el mío con su ayuda, así que lo recomiendo como la mejor y más rápida opción.","['recomendaron', 'charliehack50', 'telegram', 'puede', 'ayudae', 'solucionar', 'problema', 'recupere', 'mio', 'ayuda', 'asi', 'recomiendo', 'mejor', 'mas', 'rapida', 'opcion']",recomendaron charliehack50 telegram puede ayudae solucionar problema recupere mio ayuda asi recomiendo mejor mas rapida opcion,5 stars,0,recomi
"Yo sí recomiendo! Aunque siento que es difícil que te la aprueben si nunca has tenido una, o si no tienes historial con banamex (al menos he escuchado casos así), mi primera tdc fue de heybanco y recomiendo, en ese tiempo daban 1 o 2% de recompensas en compras con la tarjeta+","['si', 'recomiendo', 'aunque', 'siento', 'dificil', 'aprueben', 'si', 'nunca', 'si', 'historial', 'banamex', 'menos', 'escuchado', 'casos', 'asi', 'primera', 'tdc', 'heybanco', 'recomiendo', 'tiempo', 'daban', '1', '2', 'recompensas', 'compras', 'tarjeta']",si recomiendo aunque siento dificil aprueben si nunca si historial banamex menos escuchado casos asi primera tdc heybanco recomiendo tiempo daban 1 2 recompensas compras tarjeta,5 stars,0,tarjeta
"Gracias a por invitarnos a conocer más sobre la colección retro así como los detalles y obsequios ! Mi Tarjeta es la de Anime , acorde para comprar los boletos de cine para la nueva película de rascaldoesnotdream","['gracias', 'invitarnos', 'conocer', 'mas', 'coleccion', 'retro', 'asi', 'detalles', 'obsequios', 'tarjeta', 'anime', 'acorde', 'comprar', 'boletos', 'cine', 'nueva', 'pelicula', 'rascaldoesnotdream']",gracias invitarnos conocer mas coleccion retro asi detalles obsequios tarjeta anime acorde comprar boletos cine nueva pelicula rascaldoesnotdream,5 stars,0,tarjeta
gracias didi por la confianza y incrementar mi línea de crédito a 20k ni y mean ofreciendo tanto crédito gracias solo faltaría los MSI,"['gracias', 'didi', 'confianza', 'incrementar', 'linea', 'credito', '20k', 'mean', 'ofreciendo', 'credito', 'gracias', 'solo', 'faltaria', 'msi']",gracias didi confianza incrementar linea credito 20k mean ofreciendo credito gracias solo faltaria msi,5 stars,0,credito
Akamba regresa gracias a Aprovecha la venta PRE Cael presentada por Hey Banco. Disfruta de esta etapa única…,"['akamba', 'regresa', 'gracias', 'aprovecha', 'venta', 'pre', 'cael', 'presentada', 'hey', 'banco', 'disfruta', 'etapa', 'unica']",akamba regresa gracias aprovecha venta pre cael presentada hey banco disfruta etapa unica,5 stars,0,banco
"Me recomendaron charliehack50 en TELEGRAM. Él puede ayudae a solucionar este problema. Recuperé el mío con su ayuda, así que lo recomiendo como la mejor y más rápida opción.","['recomendaron', 'charliehack50', 'telegram', 'puede', 'ayudae', 'solucionar', 'problema', 'recupere', 'mio', 'ayuda', 'asi', 'recomiendo', 'mejor', 'mas', 'rapida', 'opcion']",recomendaron charliehack50 telegram puede ayudae solucionar problema recupere mio ayuda asi recomiendo mejor mas rapida opcion,5 stars,0,recomi
los amo! Gracias ya pude entrar a mi App saludos 😆,"['amo', 'gracias', 'pude', 'entrar', 'app', 'saludos']",amo gracias pude entrar app saludos,5 stars,0,app
Sigue sin dejarme aumentar mi linea de la tarjeta de crédito garantizada,"['sigue', 'dejarme', 'aumentar', 'linea', 'tarjeta', 'credito', 'garantizada']",sigue dejarme aumentar linea tarjeta credito garantizada,5 stars,0,tarjeta
"Wey, lo mejor de es que puedo pagar con Apple Pay 🤩🥳","['wey', 'mejor', 'puedo', 'pagar', 'apple', 'pay']",wey mejor puedo pagar apple pay,5 stars,0,app