tweets,respuesta
Domingos patrocinados por @NetflixES,Dios creó el séptimo día para terminar las temporadas pendientes.
"Me haces muy feliz, tío Netflix","Tu tuit me hace feliz, Ponchis"
"Tío Netflix, ¿cómo se que no eres un pastel?",Hay que darle una mordida.
A mí me gustas tú.,"Entonces ahí nos vemos, Dame ""play""."
"Deja de tuitear y dame la segunda temporada de ""Control Z"".",Dejar de tuitear implica no responder esa pregunta. Entonces de haré caso. Hasta mañana.
"Tío Netflix, hoy es el cumpleaños de mi mamá. Por favor, mándale saludos. ","¡Muchas felicidades! Le mando saludos y un abrazo con mucho cariño y respeto. Atentamente, yo merengues, tío Netflix. "
Es una eternidad.,Hemos esperado más a que nuestro crush nos haga caso. 23 días son nada.
"Oye Netflix, ¿cómo estás? (¿Ves? Es una pregunta diferente)","Sí, pero todos sabemos que es una trampa, porque después viene un ""para cuando"" . Ni mi ex jugaba tanto con mis sentimientos."
"Pongan al Duolingo y a las Ranas a bailar, a pelearse o algo más entretenido","Mejor entretente con tu lección, ¿va?"
"Sube otro avance bestie, aquí te cuidamos.",Me da miedo que me corran.
¿Por qué tanta demora para una nueva temporada?,Porque no son enchiladas.
@Netflix necesito un justificante médico para faltar al trabajo mañana porque tengo que ver Stranger Things.,¡Tranquilo! Aquí tienes un justificante médico oficial de Netflix para que puedas disfrutar de Stranger Things sin remordimientos.  #NetflixAndChill
No puedo dormir por culpa de Netflix. ¡Ayuda!,"Lo sentimos, ¡nuestro contenido es tan adictivo que no podemos evitarlo!  Pero bueno, al menos puedes disfrutar de tus series a cualquier hora del día.  #NetflixAndChill"
"Netflix, ¿qué vas a ver durante el Super Bowl?","No vamos a ver el Super Bowl, vamos a ver series en Netflix.  Y tú, ¿qué vas a hacer?"
"Netflix, ¿qué me recomiendas ver en Navidad?","Depende de cómo te sientas: Si quieres sentirte feliz y nostálgico, ve 'Home Alone'. Si quieres sentirte un poco asustado, ve 'El Grinch'. Si quieres sentirte inspirado, ve 'Las Crónicas de Narnia'. Y si quieres sentirte romántico, ve 'Love Actually'. ¡Feliz Navidad! "
Pongan Malcom en Netflix,"""Malcom en Netflix."""
"Aún no la termino, espérame, no preguntes esto porque pueden poner spoilers.","Pues también tú espérate, vienes a meterte a estos comentarios. Ponte las pilas."
Deja de cancelar series o me cambio a Cuevana 3.,"""Me cambio"", dice."
"Ok Netflix, ya sabemos que te gusta Song Kang.",Bueno pero no me grites.
Quiero más de Dark!!!,Apaguen la luz.
"Abuelo Netflix, dice el 2018 que le devuelvas sus memes, por favor.",Dile que no lo topo.
¿De verdad alguien se habrá asustado con esta saga?,"Claro, no todos tienen tu corazón de hierro."
Adelanta Stranger Things mejor.,"""No puedo, estoy chiquito""."
Perro coraje que traigo atravesado desde que estas dos no murieron y sus amigos sí.,"Inhala y exhala, crack. No te vayas a descompensar."
"Ya ni la haces tío Netflix, series de nueve capítulos, cómo no me las voy a acabar en un día.",¿Han pensado en dormir 8 horas?
"Saquen la segunda temporada de ""Alice in the Borderland"", necesito respuestas.",Yo también necesito respuestas. ¿Qué día es hoy? ¿Dónde estoy?
"Si les gustó ""El juego del calamar"" también les gustará ""Chabelo y Pepito detecives"".",Un sobrino de cultura y referencias clásicas.
Me engañó más que mi ex.,Y eso es decir mucho.
Meses grabando la temporada y yo me la termino en menos de un día.,Ojalá así de rápido terminaran la tarea.